城市名称,9月房价(元/㎡),9月房价同比(%),9月房价环比(%),9月租金(元/月/㎡),9月租金同比(%),9月租金环比(%),10月房价(元/㎡),10月房价同比(%),10月房价环比(%),10月租金(元/月/㎡),10月租金同比(%),10月租金环比(%),11月房价(元/㎡),11月房价同比(%),11月房价环比(%),11月租金(元/月/㎡),11月租金同比(%),11月租金环比(%),12月房价(元/㎡),12月房价同比(%),12月房价环比(%),12月租金(元/月/㎡),12月租金同比(%),12月租金环比(%),Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
鹤岗市,2339.0,8.56,1.32,8.68,-24.92,-9.43,2276.0,4.81,-2.72,8.41,-26.46,-3.16,2290.0,7.65,0.62,8.87,-16.52,5.53,2332.0,5.33,1.84,9.32,-7.3,5.09,,,,
黑河市,3604.0,4.34,1.8,12.17,7.08,-19.29,3660.0,5.52,1.55,11.85,7.61,-2.6,3531.0,2.78,-3.52,13.91,33.04,17.35,3599.0,1.93,1.92,12.18,-0.5,-12.46,,,,
衡水市,8443.0,6.47,2.76,11.33,5.66,3.64,8335.0,3.97,-1.28,11.37,8.44,0.31,8361.0,4.96,0.31,11.16,6.11,-1.87,8368.0,8.57,0.08,11.38,4.82,2.04,,,,
衡阳市,5677.0,27.45,-0.39,19.53,39.37,0.06,5476.0,15.45,-3.55,20.04,0.0,2.63,5494.0,14.41,0.33,20.0,32.32,-0.23,5557.0,12.98,1.14,20.02,31.84,0.14,,,,
红河哈尼族彝族自治州,4576.0,18.16,4.9,14.2,13.6,-0.41,4574.0,18.27,-0.03,15.08,27.17,6.21,4479.0,10.41,-2.09,14.8,24.6,-1.83,4743.0,15.65,5.91,15.04,12.81,1.6,,,,
呼和浩特市,11100.0,45.04,3.53,22.04,12.58,-4.47,11150.0,43.87,0.45,22.0,13.63,-0.18,11103.0,40.64,-0.42,22.83,21.55,3.77,11434.0,38.14,2.99,23.25,10.11,1.83,,,,
呼伦贝尔市,4256.0,6.61,-0.37,16.24,24.38,1.16,4272.0,6.98,0.38,16.36,35.81,0.74,4309.0,6.31,0.87,15.08,34.62,-7.79,4248.0,0.53,-1.42,16.51,28.29,9.5,,,,
葫芦岛市,5171.0,6.15,1.7,15.13,20.61,1.53,5084.0,3.98,-1.68,13.85,17.31,-8.42,5050.0,4.18,-0.67,14.76,29.11,6.56,5102.0,6.04,1.02,14.92,20.09,1.07,,,,
湖州市,12086.0,20.6,0.98,28.36,20.94,-2.04,11910.0,15.71,-1.46,28.51,24.49,0.51,11700.0,9.85,-1.76,28.48,25.86,-0.09,11856.0,11.93,1.33,29.03,14.84,1.93,,,,
怀化市,5545.0,17.87,0.58,18.77,40.58,8.78,5562.0,16.59,0.3,18.75,0.0,-0.1,5519.0,14.05,-0.77,18.95,23.89,1.07,5424.0,11.94,-1.73,19.43,,2.52,,,,
淮安市,9356.0,23.17,6.78,17.27,16.31,2.52,9264.0,20.77,-0.99,17.38,25.95,0.61,8637.0,11.9,-6.77,17.37,17.51,-0.01,9067.0,19.52,4.98,17.25,12.89,-0.71,,,,
淮北市,6358.0,18.03,-0.09,14.01,19.02,3.4,6280.0,14.05,-1.23,14.58,25.01,4.06,6211.0,11.54,-1.11,14.82,28.45,1.62,6494.0,16.91,4.56,13.97,17.68,-5.73,,,,
淮南市,5976.0,11.69,0.37,15.59,16.03,2.81,5883.0,7.83,-1.56,14.87,17.75,-4.59,5929.0,7.82,0.78,14.51,15.57,-2.44,6099.0,11.08,2.88,14.77,17.77,1.76,,,,
黄冈市,5517.0,35.72,1.33,16.07,32.21,0.91,5528.0,30.07,0.2,16.83,41.7,4.68,5681.0,27.21,2.76,16.09,37.62,-4.37,5619.0,30.06,-1.09,15.8,21.92,-1.81,,,,
黄南藏族自治州,3544.0,-1.22,18.45,,,,3422.0,-3.16,-3.45,,0.0,0.0,3525.0,2.74,3.02,,0.0,0.0,3622.0,6.58,2.74,,,,,,,
黄山市,9433.0,20.66,2.06,18.01,34.66,6.04,9197.0,18.14,-2.5,17.76,45.01,-1.4,8965.0,13.85,-2.52,17.07,41.78,-3.92,8916.0,9.92,-0.55,17.54,20.95,2.79,,,,
黄石市,6576.0,18.41,-0.89,18.29,23.06,1.5,6558.0,17.44,-0.27,18.09,29.95,-1.1,6291.0,9.07,-4.08,17.54,29.75,-3.01,6131.0,4.99,-2.54,17.39,16.78,-0.87,,,,
惠州市,10735.0,7.08,-0.27,23.98,11.57,1.8,10613.0,8.3,-1.13,24.24,10.03,1.09,10351.0,6.09,-2.47,24.39,14.35,0.62,10123.0,3.76,-2.2,25.04,9.26,2.65,,,,
鸡西市,3489.0,8.82,0.74,11.86,1.21,0.92,3554.0,8.19,1.87,12.06,11.44,1.7,3570.0,9.8,0.44,12.33,13.61,2.19,3571.0,9.09,0.02,12.51,9.95,1.43,,,,
吉安市,7674.0,18.23,0.63,18.25,20.16,3.56,7684.0,15.86,0.13,18.56,36.07,1.71,7600.0,11.8,-1.09,18.12,36.42,-2.39,7550.0,9.45,-0.66,18.52,19.64,2.23,,,,
吉林市,6306.0,14.32,3.53,20.0,17.28,1.36,6474.0,12.62,2.67,19.98,25.41,-0.07,6150.0,6.82,-5.01,20.46,23.19,2.39,6388.0,13.14,3.87,20.52,12.31,0.31,,,,
济南市,19132.0,6.44,-3.97,28.82,11.87,-0.51,19102.0,6.46,-0.16,28.18,9.87,-2.22,18901.0,2.3,-1.05,28.58,14.68,1.42,18877.0,6.74,-0.13,28.05,7.07,-1.84,,,,
济宁市,7069.0,13.7,-0.28,12.67,6.87,-0.36,7124.0,14.15,0.78,12.98,11.07,2.46,7301.0,15.65,2.48,12.58,4.85,-3.13,7216.0,16.04,-1.16,12.68,8.91,0.82,,,,
济源市,5424.0,23.82,0.96,13.79,12.93,2.48,5717.0,25.46,5.39,13.9,22.96,0.81,5755.0,25.3,0.67,14.07,29.2,1.17,5972.0,29.94,3.77,14.93,22.82,6.15,,,,
佳木斯市,4106.0,4.75,2.47,14.23,13.92,7.06,4125.0,4.84,0.46,13.99,10.09,-1.63,4194.0,8.19,1.67,14.54,23.46,3.89,4212.0,7.71,0.43,13.98,12.88,-3.83,,,,
嘉兴市,12931.0,13.35,-1.83,25.68,14.05,0.25,12792.0,10.31,-1.07,25.87,16.92,0.74,12666.0,7.89,-0.99,25.48,15.25,-1.49,13051.0,7.47,3.04,25.52,10.88,0.16,,,,
嘉峪关市,3839.0,12.98,0.75,14.24,15.97,2.01,3837.0,13.91,-0.06,13.84,11.67,-2.84,3974.0,17.56,3.58,14.0,13.63,1.2,3893.0,15.46,-2.04,13.87,12.92,-0.93,,,,
江门市,8565.0,24.97,0.08,24.31,18.67,0.76,8493.0,20.4,-0.84,25.02,21.12,2.93,8559.0,15.5,0.77,24.83,23.84,-0.78,8461.0,19.38,-1.14,24.9,14.21,0.3,,,,
焦作市,5566.0,13.14,2.17,15.31,14.63,9.14,5580.0,12.49,0.24,15.62,27.02,1.98,5596.0,8.46,0.3,15.24,23.45,-2.42,5547.0,8.48,-0.88,15.52,19.71,1.82,,,,
揭阳市,7142.0,21.88,-1.45,23.29,31.79,5.78,7359.0,23.25,3.04,21.81,32.38,-6.35,7329.0,17.32,-0.4,22.38,37.55,2.62,7094.0,13.27,-3.21,22.66,28.52,1.26,,,,
金昌市,3313.0,9.63,-0.11,12.63,8.55,-6.72,3476.0,8.18,4.91,12.62,11.61,-0.07,3444.0,-2.17,-0.91,12.23,13.98,-3.13,3459.0,0.96,0.43,10.86,-3.38,-11.2,,,,
金华市,16482.0,19.76,-0.34,26.27,18.24,0.4,16439.0,19.16,-0.26,26.81,23.14,2.04,16611.0,17.77,1.05,26.36,23.9,-1.69,16562.0,14.98,-0.29,27.18,9.35,3.13,,,,
锦州市,5521.0,8.42,6.17,15.33,14.71,-3.4,5347.0,6.35,-3.14,14.94,17.31,-2.6,5219.0,3.22,-2.39,15.46,23.96,3.48,5297.0,1.79,1.49,15.76,21.88,1.97,,,,
晋城市,6939.0,14.77,0.16,13.93,12.02,-0.86,7100.0,16.97,2.33,14.18,18.94,1.76,7055.0,14.38,-0.63,14.18,-10.8,-0.01,7160.0,16.2,1.49,14.24,18.95,0.41,,,,
晋中市,6744.0,22.82,4.04,14.47,18.41,-1.15,6889.0,27.3,2.15,13.77,16.6,-4.82,6775.0,22.5,-1.65,14.19,19.52,3.01,6824.0,23.66,0.72,13.74,14.63,-3.14,,,,
荆门市,5316.0,31.54,0.34,15.18,16.28,-4.26,5211.0,24.79,-1.98,15.85,30.04,4.41,5072.0,25.46,-2.67,15.32,29.8,-3.4,5046.0,14.81,-0.5,15.93,21.08,3.99,,,,
荆州市,6537.0,6.41,0.47,19.46,28.75,-1.01,6519.0,4.95,-0.28,19.86,39.94,2.1,6344.0,1.5,-2.68,19.69,26.31,-0.89,6528.0,2.81,2.9,20.26,28.68,2.89,,,,
景德镇市,6555.0,15.76,0.52,17.53,28.82,4.0,6596.0,16.21,0.64,17.6,39.42,0.41,6448.0,11.63,-2.25,17.14,40.72,-2.58,6628.0,12.79,2.8,17.62,36.48,2.78,,,,
九江市,7016.0,12.74,2.52,18.69,17.8,0.43,6830.0,7.67,-2.65,18.42,26.14,-1.47,6930.0,6.53,1.47,18.25,29.58,-0.89,6807.0,4.69,-1.77,18.9,15.21,3.53,,,,
酒泉市,4814.0,-1.16,-0.55,14.84,-0.62,-2.07,4674.0,-3.26,-2.91,14.73,-1.94,-0.77,4864.0,0.61,4.06,14.7,8.28,-0.18,4753.0,-2.42,-2.28,14.82,-1.97,0.77,,,,
喀什地区,4498.0,16.35,0.3,15.72,5.36,-3.98,4648.0,20.67,3.34,15.65,19.85,-0.43,4504.0,12.07,-3.09,15.69,30.31,0.3,4628.0,19.52,2.75,16.55,33.85,5.47,,,,
开封市,7417.0,7.77,3.24,17.18,23.85,3.5,7567.0,10.07,2.02,16.93,28.68,-1.46,7443.0,8.18,-1.65,16.95,28.61,0.14,7356.0,5.61,-1.17,17.31,17.97,2.07,,,,
克拉玛依市,4355.0,5.39,-1.18,23.23,28.69,7.07,4389.0,4.92,0.79,21.37,31.24,-8.04,4349.0,1.2,-0.91,21.85,44.26,2.29,4417.0,4.8,1.56,21.78,31.06,-0.34,,,,
克孜勒苏柯尔克孜自治州,3064.0,3.66,-4.12,11.83,-11.67,,3311.0,11.01,8.05,11.83,-17.58,0.0,3345.0,21.62,1.05,10.27,-5.75,-13.14,3404.0,14.75,1.77,10.27,-24.07,,,,,
昆明市,12442.0,19.5,3.71,27.83,13.87,-0.7,12772.0,24.13,2.65,28.21,20.06,1.34,12764.0,23.94,-0.06,28.1,19.34,-0.37,12629.0,21.0,-1.06,27.73,6.66,-1.32,,,,
拉萨市,10630.0,27.39,-0.43,28.75,10.6,0.77,10811.0,29.79,1.71,28.95,10.61,0.69,10882.0,27.57,0.65,29.32,24.61,1.27,10790.0,29.49,-0.85,28.99,17.09,-1.13,,,,
来宾市,4191.0,29.77,0.26,14.27,29.2,-0.93,4154.0,26.61,-0.87,14.66,32.96,2.77,4370.0,28.39,5.18,14.8,38.1,0.96,4288.0,26.15,-1.87,14.9,16.49,0.66,,,,
莱芜市,6972.0,35.16,1.28,11.62,16.75,-0.82,7155.0,35.11,2.63,11.27,7.11,-3.01,7054.0,33.02,-1.42,11.03,5.18,-2.08,7026.0,30.73,-0.39,11.62,19.93,5.33,,,,
兰州市,11246.0,14.02,2.65,29.06,7.51,-1.04,11296.0,12.91,0.44,29.29,10.44,0.82,11489.0,15.24,1.71,28.39,9.26,-3.08,11601.0,16.82,0.97,29.09,6.24,2.46,,,,
廊坊市,14436.0,-20.63,-1.75,19.59,3.8,-1.87,14129.0,-17.09,-2.12,19.64,5.26,0.22,14168.0,-15.35,0.27,19.24,3.12,-2.01,14455.0,-11.53,2.03,19.31,6.54,0.38,,,,
乐东黎族自治县,15518.0,0.0,2.07,33.23,10.22,-0.56,16189.0,0.0,4.32,37.34,0.0,12.35,14850.0,0.0,-8.27,37.22,15.89,-0.3,15651.0,,5.39,39.64,,6.5,,,,
乐山市,6265.0,45.27,-1.65,17.14,30.61,4.56,6121.0,34.84,-2.29,15.92,22.31,-7.12,5865.0,26.64,-4.2,15.71,27.95,-1.36,5604.0,14.1,-4.45,15.93,22.84,1.4,,,,
丽江市,7710.0,37.48,5.57,19.19,19.55,1.53,8447.0,40.45,9.56,19.59,49.84,2.08,8434.0,39.04,-0.16,20.11,25.36,2.7,8226.0,36.41,-2.46,20.87,21.57,3.74,,,,
丽水市,19229.0,25.31,-2.38,25.81,20.64,-0.05,19525.0,21.74,1.54,26.28,24.43,1.8,19088.0,20.72,-2.24,25.79,29.15,-1.84,19566.0,23.6,2.51,26.71,15.1,3.56,,,,
连云港市,9290.0,12.23,-1.05,18.43,17.68,6.55,9202.0,7.88,-0.95,17.86,19.54,-3.1,9161.0,5.32,-0.44,18.02,25.14,0.94,9527.0,13.25,4.0,18.16,13.26,0.73,,,,
凉山彝族自治州,9248.0,23.02,0.62,23.0,21.85,3.11,9237.0,22.19,-0.12,23.18,29.57,0.77,9473.0,22.97,2.56,22.63,36.67,-2.37,9341.0,19.48,-1.39,22.99,13.07,1.6,,,,
辽阳市,4498.0,2.41,0.55,13.65,14.41,-5.79,4515.0,3.83,0.36,14.34,20.22,5.06,4556.0,4.51,0.92,14.35,-2.01,0.05,4531.0,2.55,-0.56,15.44,32.25,7.62,,,,
辽源市,4051.0,4.75,2.56,13.55,26.25,-0.53,4063.0,5.41,0.28,12.08,10.44,-10.85,4100.0,7.08,0.93,13.52,24.71,11.91,3999.0,7.3,-2.47,13.4,17.89,-0.91,,,,
聊城市,9057.0,25.73,-2.16,15.4,18.32,0.08,8379.0,17.05,-7.49,14.53,15.39,-5.63,8490.0,15.61,1.32,13.34,3.14,-8.22,8443.0,16.51,-0.55,13.83,1.62,3.71,,,,
林芝地区,6673.0,18.3,1.01,19.56,-5.77,-1.84,7138.0,33.25,6.97,17.46,-20.77,-10.74,7312.0,25.28,2.43,18.61,20.42,6.6,7609.0,33.85,4.06,19.53,-1.95,4.93,,,,
临沧市,6476.0,22.21,0.81,17.73,30.02,1.29,6751.0,25.89,4.25,17.09,42.16,-3.61,6730.0,19.29,-0.31,17.38,0.0,1.68,6711.0,18.94,-0.29,17.54,43.43,0.92,,,,
临汾市,4932.0,6.2,1.12,14.19,11.65,-2.8,4908.0,4.69,-0.49,14.27,20.39,0.6,4805.0,1.45,-2.1,14.0,19.09,-1.92,4839.0,1.06,0.7,14.06,11.97,0.47,,,,
临高县,12123.0,0.0,3.13,30.52,48.24,21.17,11852.0,0.0,-2.24,28.56,0.0,-6.44,11526.0,0.0,-2.75,30.04,39.05,5.18,11337.0,43.38,-1.64,30.95,,3.06,,,,
临夏回族自治州,4231.0,10.39,4.26,12.2,6.05,-0.47,4293.0,14.39,1.48,12.21,5.88,0.14,4304.0,10.85,0.26,12.75,15.1,4.4,4455.0,15.34,3.51,12.55,3.13,-1.56,,,,
临沂市,6966.0,20.25,2.68,12.86,-11.57,-2.95,7124.0,22.51,2.27,12.69,-0.26,-1.35,7196.0,20.28,1.01,12.61,0.12,-0.65,7297.0,22.66,1.4,12.73,6.93,1.0,,,,
陵水黎族自治县,34805.0,0.0,2.41,49.78,7.89,1.59,34963.0,48.06,0.46,51.19,-1.0,2.82,34954.0,0.0,-0.03,52.69,-1.53,2.92,32147.0,31.73,-8.03,50.92,-12.86,-3.35,,,,
柳州市,8862.0,13.75,1.82,24.58,18.75,3.01,8885.0,13.25,0.26,24.78,29.35,0.81,8963.0,12.66,0.88,24.2,19.4,-2.33,8895.0,13.05,-0.76,24.22,11.28,0.07,,,,
六安市,7124.0,1.47,-0.23,15.19,6.57,-3.62,7151.0,1.83,0.39,16.2,17.38,6.63,7048.0,2.39,-1.44,16.14,19.56,-0.35,7039.0,2.96,-0.13,15.81,6.33,-2.09,,,,
六盘水市,4686.0,20.87,1.12,18.36,33.08,0.18,4872.0,23.57,3.99,16.62,25.93,-9.49,4841.0,21.39,-0.65,17.53,38.63,5.47,4809.0,19.06,-0.66,18.66,37.89,6.44,,,,
龙岩市,10836.0,11.47,-0.78,27.23,17.55,2.33,10754.0,9.64,-0.76,25.98,24.67,-4.59,10642.0,7.59,-1.04,26.27,26.62,1.11,10639.0,8.24,-0.03,25.86,14.76,-1.56,,,,
陇南市,7164.0,18.52,1.62,12.79,3.63,-5.19,7293.0,18.72,1.8,13.32,-7.06,4.14,7227.0,17.89,-0.9,14.19,20.84,6.57,7296.0,10.57,0.95,14.41,20.13,1.51,,,,
娄底市,4898.0,24.4,2.84,17.09,38.5,1.47,5088.0,27.13,3.88,17.93,0.0,4.94,5050.0,24.16,-0.73,17.31,46.08,-3.45,5117.0,25.6,1.31,17.36,23.24,0.25,,,,
泸州市,6895.0,19.58,0.53,18.25,14.54,-0.5,6828.0,17.86,-0.98,18.48,22.69,1.24,6879.0,16.64,0.76,18.32,11.25,-0.87,6916.0,17.42,0.54,18.28,9.5,-0.21,,,,
洛阳市,9134.0,26.57,4.72,18.86,22.52,1.12,9075.0,25.3,-0.65,19.24,25.79,2.03,8993.0,21.62,-0.9,18.91,22.71,-1.7,8947.0,22.2,-0.51,18.43,13.5,-2.55,,,,
漯河市,5202.0,19.72,1.7,13.02,9.09,3.31,5372.0,23.42,3.26,13.94,24.84,7.02,5475.0,22.48,1.93,13.92,18.74,-0.13,5411.0,21.17,-1.17,14.42,23.85,3.58,,,,
吕梁市,4391.0,13.05,3.19,10.28,-7.41,-10.23,4251.0,14.16,-3.2,11.26,-0.87,9.51,4233.0,15.88,-0.42,12.04,14.67,6.91,4296.0,11.96,1.49,11.7,23.95,-2.76,,,,
马鞍山市,7305.0,20.02,2.22,15.81,13.2,1.13,7138.0,17.1,-2.29,15.7,15.38,-0.65,7100.0,13.67,-0.54,15.41,13.16,-1.85,7026.0,9.53,-1.04,15.57,9.87,1.01,,,,
茂名市,7487.0,6.06,0.77,21.49,24.03,2.46,7380.0,0.15,-1.43,21.85,29.59,1.71,7236.0,-0.25,-1.95,21.93,27.02,0.34,7263.0,-0.67,0.37,22.04,15.46,0.48,,,,
眉山市,7285.0,46.46,-3.27,13.42,14.35,5.96,7047.0,33.95,-3.27,13.13,11.19,-2.18,6911.0,27.92,-1.93,13.27,12.59,1.07,7127.0,31.46,3.13,13.1,20.65,-1.23,,,,
梅州市,7399.0,17.97,0.26,21.57,39.77,6.44,7262.0,10.25,-1.85,20.9,46.82,-3.11,7215.0,4.94,-0.65,21.36,44.74,2.22,7313.0,6.71,1.36,20.7,15.56,-3.11,,,,
绵阳市,8104.0,33.83,5.96,17.08,20.58,12.16,7771.0,26.14,-4.12,15.93,11.89,-6.72,7342.0,12.27,-5.52,15.82,-4.75,-0.69,7671.0,16.05,4.47,15.25,1.04,-3.62,,,,
牡丹江市,5208.0,7.62,0.14,15.33,19.65,-3.46,5278.0,6.94,1.34,14.88,16.88,-2.96,5347.0,8.37,1.31,14.97,17.68,0.61,5451.0,10.3,1.95,15.33,25.25,2.41,,,,
南昌市,11411.0,5.19,0.2,23.19,7.48,-2.44,11635.0,7.06,1.96,23.51,10.93,1.39,11916.0,8.85,2.41,24.0,13.5,2.1,11484.0,5.08,-3.63,24.37,7.64,1.55,,,,
南充市,7817.0,37.27,1.44,14.86,24.55,3.25,7641.0,31.06,-2.26,14.89,25.23,0.23,7463.0,26.81,-2.33,14.63,22.1,-1.74,7484.0,22.19,0.29,15.05,12.6,2.85,,,,
南京市,29691.0,11.55,1.56,45.7,15.81,-0.91,29502.0,8.94,-0.64,45.65,16.32,-0.11,29667.0,8.74,0.56,45.42,11.96,-0.49,29955.0,7.93,0.97,43.74,5.51,-3.72,,,,
南宁市,11255.0,16.31,2.16,29.99,16.54,0.08,11387.0,16.16,1.17,29.8,18.72,-0.65,11382.0,15.22,-0.04,29.63,17.04,-0.58,11274.0,14.13,-0.95,29.34,7.77,-0.96,,,,
南平市,7465.0,9.05,-4.77,17.52,8.45,-1.88,7495.0,9.68,0.41,17.71,16.15,1.12,7639.0,9.46,1.92,17.64,20.17,-0.41,7660.0,9.45,0.27,18.83,15.84,6.72,,,,
南通市,13559.0,13.8,2.55,22.87,15.4,3.01,13721.0,15.64,1.2,22.73,17.47,-0.63,13689.0,15.69,-0.24,22.06,15.41,-2.94,13714.0,13.38,0.18,22.42,6.83,1.62,,,,
南阳市,6584.0,30.02,2.17,15.94,18.61,4.18,6691.0,32.36,1.63,15.45,19.81,-3.04,6697.0,32.27,0.08,14.34,4.22,-7.16,6895.0,35.95,2.96,14.97,11.0,4.35,,,,
内江市,6409.0,30.84,3.52,16.23,12.55,1.69,6223.0,20.85,-2.9,16.95,21.29,4.43,6558.0,24.55,5.38,15.63,13.6,-7.8,6479.0,20.81,-1.2,15.47,4.92,-0.97,,,,
宁波市,18106.0,20.81,0.87,32.46,12.24,-1.28,18466.0,23.71,1.99,32.93,14.85,1.43,17537.0,15.9,-5.03,32.9,13.88,-0.08,18271.0,21.68,4.19,34.01,10.44,3.36,,,,
宁德市,10174.0,16.72,0.48,27.43,37.85,3.51,10127.0,12.2,-0.46,26.92,41.27,-1.88,10092.0,9.86,-0.34,27.58,0.0,2.47,9973.0,10.55,-1.19,27.29,23.79,-1.05,,,,
怒江傈僳族自治州,5319.0,0.0,-7.06,,,,5360.0,24.45,0.76,,0.0,0.0,5237.0,22.42,-2.28,,0.0,0.0,4866.0,13.28,-7.09,,,,,,,
攀枝花市,5682.0,30.32,4.37,20.34,44.01,6.58,5501.0,25.73,-3.18,20.14,36.4,-1.0,5648.0,29.73,2.67,20.51,45.06,1.86,5510.0,23.54,-2.45,20.08,28.84,-2.1,,,,
盘锦市,4012.0,8.61,1.57,15.0,22.51,1.36,3964.0,6.26,-1.2,14.42,25.73,-3.85,3982.0,5.73,0.46,14.7,27.19,1.94,3993.0,4.2,0.27,14.79,16.54,0.62,,,,
平顶山市,5075.0,5.64,1.37,14.01,12.67,-0.89,5029.0,3.74,-0.91,13.97,12.98,-0.32,5006.0,2.19,-0.45,14.16,19.13,1.39,5099.0,6.6,1.85,14.08,18.94,-0.57,,,,
平凉市,5953.0,28.15,4.64,14.47,12.31,-0.15,6043.0,26.95,1.51,14.22,13.99,-1.76,6171.0,28.09,2.11,14.45,12.09,1.62,6153.0,24.84,-0.29,14.46,20.18,0.05,,,,
萍乡市,5099.0,22.55,2.2,18.25,32.91,1.17,5148.0,19.65,0.96,18.68,0.0,2.34,5046.0,17.81,-1.97,17.39,39.32,-6.9,5110.0,19.99,1.27,17.82,25.39,2.48,,,,
莆田市,12527.0,0.51,-0.36,26.56,19.84,-0.76,13002.0,-0.54,3.79,26.9,29.87,1.29,12238.0,-6.76,-5.87,26.51,31.44,-1.48,13013.0,-2.21,6.33,26.91,15.46,1.52,,,,
濮阳市,6620.0,16.83,1.79,14.88,12.23,-1.2,6627.0,16.01,0.1,15.01,17.96,0.86,6639.0,14.27,0.19,14.83,14.66,-1.24,6717.0,17.3,1.18,15.51,17.33,4.63,,,,
普洱,7564.0,44.97,-0.07,17.51,21.27,-0.7,7616.0,41.02,0.68,17.64,37.0,0.74,7595.0,34.24,-0.28,17.42,38.8,-1.23,7610.0,31.42,0.19,17.49,9.46,0.37,,,,
七台河市,3185.0,2.85,1.22,10.99,0.13,-0.28,3097.0,-0.96,-2.78,11.48,13.44,4.4,3296.0,1.23,6.43,12.5,39.36,8.88,3391.0,5.15,2.88,12.26,19.75,-1.89,,,,
齐齐哈尔市,5324.0,3.22,-0.95,16.64,19.27,-4.34,5461.0,5.24,2.57,17.03,25.67,2.33,5273.0,3.06,-3.44,16.62,23.97,-2.38,5278.0,2.01,0.1,16.59,24.23,-0.17,,,,
潜江市,5144.0,31.79,-0.09,17.01,40.17,-2.29,5037.0,30.93,-2.07,16.57,0.0,-2.57,5228.0,35.76,3.78,14.52,31.38,-12.36,5375.0,25.82,2.81,17.04,45.54,17.29,,,,
黔东南苗族侗族自治州,5155.0,21.21,-0.75,18.06,6.81,-6.6,5375.0,23.19,4.28,18.84,15.33,4.33,5374.0,20.06,-0.02,19.1,28.64,1.41,5202.0,20.09,-3.21,18.73,-0.15,-1.94,,,,
黔南布依族苗族自治州,4388.0,9.24,-0.25,18.32,11.28,8.13,4372.0,8.4,-0.35,17.59,16.13,-3.97,4349.0,7.17,-0.53,17.99,22.36,2.27,4568.0,12.58,5.02,17.55,5.23,-2.47,,,,
黔西南布依族苗族自治州,4260.0,23.7,2.95,14.0,19.27,0.75,4213.0,20.4,-1.09,14.57,19.16,4.1,4157.0,14.24,-1.34,14.77,13.08,1.36,4239.0,16.52,1.97,14.88,17.58,0.74,,,,
钦州市,4331.0,19.9,2.26,14.75,17.47,-0.85,4463.0,21.37,3.05,15.11,27.72,2.43,4502.0,20.86,0.86,15.34,29.91,1.55,4506.0,22.22,0.09,15.15,17.28,-1.25,,,,
秦皇岛市,9441.0,19.36,2.5,18.22,19.53,4.36,9631.0,22.24,2.02,17.17,9.51,-5.74,9731.0,19.9,1.04,17.38,5.1,1.22,10090.0,28.88,3.68,17.21,7.33,-1.01,,,,
青岛市,23306.0,29.62,1.09,30.76,12.96,0.36,22683.0,24.61,-2.26,29.88,12.52,-2.86,22478.0,20.1,-0.9,29.7,16.09,-0.6,22220.0,16.53,-1.15,29.71,2.48,0.02,,,,
清远市,7756.0,12.53,1.92,20.14,19.95,2.45,7883.0,17.78,1.63,19.82,22.87,-1.61,7973.0,12.06,1.15,20.2,25.02,1.94,7899.0,10.19,-0.93,20.2,14.86,0.01,,,,
庆阳市,7038.0,19.77,2.56,19.18,10.33,-0.22,7068.0,20.14,0.43,19.16,9.47,-0.09,7047.0,19.31,-0.3,18.64,11.8,-2.74,7026.0,18.63,-0.3,18.23,6.92,-2.2,,,,
琼海市,11953.0,32.96,0.32,22.53,4.1,1.18,13579.0,47.89,13.6,25.63,11.99,13.75,12885.0,47.1,-5.12,23.98,21.77,-6.44,13272.0,42.51,3.01,22.47,-14.02,-6.29,,,,
琼中黎族苗族自治县,8464.0,43.99,15.54,20.7,9.05,-21.97,7386.0,13.15,-12.74,18.09,43.8,-12.58,7845.0,27.65,6.22,18.96,33.31,4.8,7737.0,31.46,-1.38,18.09,32.87,-4.58,,,,
衢州市,13219.0,21.97,2.3,21.03,22.36,3.09,13168.0,18.17,-0.38,21.0,32.1,-0.14,13369.0,19.15,1.53,21.24,33.66,1.11,13216.0,16.56,-1.14,21.35,19.18,0.55,,,,
曲靖市,4431.0,13.03,3.68,12.12,7.38,2.29,4534.0,13.37,2.35,12.35,10.57,1.88,4613.0,14.78,1.74,12.21,-6.83,-1.11,4814.0,19.73,4.34,12.01,10.44,-1.7,,,,
泉州市,11995.0,14.02,-0.16,25.85,7.04,1.83,12154.0,11.58,1.33,25.86,13.62,0.04,12260.0,16.97,0.87,25.59,14.42,-1.03,12090.0,7.23,-1.39,25.91,4.12,1.26,,,,
日喀则地区,5707.0,-25.84,-31.28,32.23,29.54,27.52,7781.0,0.34,36.34,28.39,13.85,-11.9,8873.0,-1.59,14.03,28.52,44.21,0.45,9452.0,41.84,6.53,23.51,4.29,-17.58,,,,
日照市,8633.0,26.05,3.62,14.58,6.91,-4.24,8984.0,31.03,4.07,14.97,13.73,2.71,8755.0,25.52,-2.55,14.15,7.21,-5.51,9067.0,30.76,3.57,14.58,6.25,3.06,,,,
三门峡市,4253.0,1.87,1.23,13.88,8.96,2.92,4385.0,1.96,3.11,13.05,8.04,-6.01,4425.0,2.55,0.9,12.9,9.28,-1.13,4651.0,12.59,5.11,12.87,-1.98,-0.26,,,,
