城市名称,9月房价(元/㎡),9月房价同比(%),9月房价环比(%),9月租金(元/月/㎡),9月租金同比(%),9月租金环比(%),10月房价(元/㎡),10月房价同比(%),10月房价环比(%),10月租金(元/月/㎡),10月租金同比(%),10月租金环比(%),11月房价(元/㎡),11月房价同比(%),11月房价环比(%),11月租金(元/月/㎡),11月租金同比(%),11月租金环比(%),12月房价(元/㎡),12月房价同比(%),12月房价环比(%),12月租金(元/月/㎡),12月租金同比(%),12月租金环比(%),Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
滨州市,8192.0,20.51,3.4,12.07,1.82,3.05,8393.0,22.18,2.45,11.78,10.62,-2.37,8300.0,17.34,-1.1,11.69,1.54,-0.77,8254.0,22.02,-0.56,11.33,5.93,-3.09,,,,
亳州市,6593.0,9.29,1.02,12.83,-0.95,0.33,6731.0,11.36,2.1,12.79,16.57,-0.25,6641.0,9.58,-1.34,12.62,8.17,-1.35,6486.0,5.74,-2.33,12.45,11.2,-1.31,,,,
博尔塔拉蒙古自治州,3479.0,5.49,-1.0,11.45,2.86,-8.54,3620.0,8.51,4.07,12.24,18.92,6.83,3617.0,7.83,-0.1,12.21,20.45,-0.21,3680.0,10.82,1.73,13.58,34.74,11.2,,,,
沧州市,10015.0,-2.57,3.11,14.99,11.19,1.66,10144.0,-3.7,1.29,14.93,18.58,-0.4,10090.0,3.0,-0.53,14.31,-7.28,-4.14,10038.0,10.84,-0.52,14.74,12.77,3.03,,,,
昌吉回族自治州,4769.0,9.82,0.36,12.76,11.79,-1.46,4797.0,9.69,0.58,12.79,12.09,0.29,4683.0,6.06,-2.38,12.72,19.1,-0.54,4923.0,11.67,5.14,13.0,18.79,2.2,,,,
昌江黎族自治县,13258.0,0.0,-1.94,18.34,-20.53,-4.48,13674.0,0.0,3.14,18.99,34.9,3.56,13334.0,0.0,-2.49,26.2,43.28,37.95,13640.0,,2.29,24.43,,-6.74,,,,
常德市,6649.0,16.18,0.69,22.72,28.24,1.43,6537.0,13.15,-1.69,22.97,42.03,1.11,6648.0,11.7,1.7,23.32,42.53,1.54,7028.0,16.77,5.72,22.9,24.96,-1.8,,,,
常州市,14453.0,26.37,-0.48,23.77,20.32,0.03,14292.0,22.64,-1.11,23.91,25.45,0.59,14160.0,19.52,-0.92,24.18,24.76,1.13,14115.0,18.63,-0.32,24.09,34.78,-0.4,,,,
朝阳市,4022.0,-0.57,-0.13,10.86,-2.13,-9.54,3979.0,-0.67,-1.06,11.55,8.08,6.41,4027.0,0.65,1.21,11.28,-10.67,-2.37,4010.0,1.16,-0.43,11.56,7.63,2.5,,,,
潮州市,7847.0,31.69,-3.09,22.32,40.98,11.01,8040.0,33.01,2.47,19.61,33.08,-12.15,7812.0,23.49,-2.84,20.91,33.59,6.62,7596.0,21.99,-2.77,21.5,41.52,2.81,,,,
